Caso,Formulacao,Status,Tempo_s,Vmin_pu,Vmax_pu,Pg_total_MW,Qg_total_MVAr,Slacks,N_Barras,N_CSCA
300bus,(15) PM,LOCALLY_SOLVED,7.627995042,0.8495152230304616,1.1955747529657261,23047.62689043383,8925.800239458338,0.0,300,0
300bus,(16) QLIM+VLIM,LOCALLY_SOLVED,0.8252155,0.8999999900002237,1.1000000109989598,23036.41529817373,8674.069871242762,396742.942976384,300,0
300bus,(17) CSCA,LOCALLY_SOLVED,0.359146292,0.8999999900002237,1.1000000109989598,23036.415298173735,8674.069871242873,396742.94297644164,300,0
3bus,(15) PM,LOCALLY_SOLVED,0.1586445,0.9970372619666746,1.03,31.256821619377206,6.162298131334866,0.0,3,0
3bus,(16) QLIM+VLIM,LOCALLY_SOLVED,0.00199625,0.9970369891564238,1.0299999999943505,31.257073895775868,6.1625406511821375,6.45022917377376e-17,3,0
3bus,(17) CSCA,LOCALLY_SOLVED,0.001611834,0.9970369891564238,1.0299999999943505,31.257073895775868,6.1625406511821375,6.45022917377376e-17,3,0
3bus_DBSH,(15) PM,LOCALLY_SOLVED,0.002751292,0.9601700846236046,1.03,33.266114059458054,47.55234123848121,0.0,3,0
3bus_DBSH,(16) QLIM+VLIM,LOCALLY_SOLVED,0.00191225,0.9601700845545259,1.029999999999393,33.26611410078247,47.55234127511875,8.59289616845287e-18,3,0
3bus_DBSH,(17) CSCA,LOCALLY_SOLVED,0.002191333,1.0289999999978745,1.0299999999961535,32.163143734338654,-32.27391950097815,1.5709431649930915e-16,3,1
3bus_DCER,(15) PM,LOCALLY_SOLVED,0.00237525,0.9601700846236046,1.03,33.266114059458054,47.55234123848121,0.0,3,0
3bus_DCER,(16) QLIM+VLIM,LOCALLY_SOLVED,0.001583792,0.9601700845545259,1.029999999999393,33.26611410078247,47.55234127511875,8.59289616845287e-18,3,0
3bus_DCER,(17) CSCA,LOCALLY_SOLVED,0.002177541,1.0289999999978745,1.0299999999961535,32.163143734338654,-32.27391950097815,1.5709431649930915e-16,3,1
3bus_DCSC,(15) PM,LOCALLY_SOLVED,0.003604333,1.029,1.03,30.96399780952126,5.865100412076874,0.0,3,0
3bus_DCSC,(16) QLIM+VLIM,LOCALLY_SOLVED,0.002291875,1.017823302991474,1.0361980937767095,30.661113243350247,5.4693039764387175,226.19933621301996,3,0
3bus_DCSC,(17) CSCA,LOCALLY_SOLVED,0.001600334,1.017823302991474,1.0361980937767095,30.661113243350247,5.4693039764387175,226.19933621301996,3,0
3bus_DCline,(15) PM,LOCALLY_SOLVED,0.0024555,0.9970372619666746,1.03,42.61721156975682,3.0810110514852616,0.0,3,0
3bus_DCline,(16) QLIM+VLIM,LOCALLY_SOLVED,0.0016735,0.9970369891564238,1.0299999999942555,42.617463846155616,6.162264622817723,6.451010634831262e-17,3,0
3bus_DCline,(17) CSCA,LOCALLY_SOLVED,0.001515709,0.9970369891564238,1.0299999999942555,42.617463846155616,6.162264622817723,6.451010634831262e-17,3,0
3bus_DSHL,(15) PM,LOCALLY_SOLVED,0.002827083,0.6621750315922079,1.029,120.44526351414804,319.0754677947872,0.0,3,0
3bus_DSHL,(16) QLIM+VLIM,LOCALLY_SOLVED,0.003545917,0.8999999900000356,1.0458195817576248,35.13874964867594,130.40000130395995,4.207423812243384e6,3,0
3bus_DSHL,(17) CSCA,LOCALLY_SOLVED,0.00259825,0.8999999900000356,1.0458195817576248,35.13874964867594,130.40000130395995,4.207423812243384e6,3,0
3bus_corrections,(15) PM,ERRO: ErrorException,NaN,NaN,NaN,NaN,NaN,NaN,0,0
3bus_corrections,(16) QLIM+VLIM,ERRO: ErrorException,NaN,NaN,NaN,NaN,NaN,NaN,0,0
3bus_corrections,(17) CSCA,ERRO: ErrorException,NaN,NaN,NaN,NaN,NaN,NaN,0,0
3bus_shunt_fields,(15) PM,LOCALLY_SOLVED,0.00278675,1.0147115555220532,1.03,31.430496262879903,31.142985257801932,0.0,3,0
3bus_shunt_fields,(16) QLIM+VLIM,LOCALLY_SOLVED,0.00177075,1.0061539872779495,1.0521505765673511,33.01443949563382,30.47544088900717,1106.2828008748397,3,0
3bus_shunt_fields,(17) CSCA,LOCALLY_SOLVED,0.0016725,1.0290000000232997,1.030000000045062,32.192665130012834,-20.116132623169612,9.262060457195361e-15,3,2
500bus,(15) PM,LOCALLY_SOLVED,0.10422725,0.9847184287659362,1.041359091933609,7602.047576044487,1505.2774376685968,0.0,500,0
500bus,(16) QLIM+VLIM,LOCALLY_SOLVED,0.166548834,0.9839203702366855,1.043485331187034,7602.120924727973,1514.4043897320123,803.2939014261319,500,0
500bus,(17) CSCA,LOCALLY_SOLVED,0.168331458,0.9829990248270044,1.047668616989342,7601.771055003496,1611.6736780820581,450.1051998982823,500,15
9bus,(15) PM,LOCALLY_SOLVED,0.003515875,1.050078551206911,1.083478660355622,317.49138602465393,-5.4523028591420095,0.0,9,0
9bus,(16) QLIM+VLIM,LOCALLY_SOLVED,0.002474292,1.0500785120613512,1.0834786408657031,317.4913923705419,-5.452174692996,2.6279705212158094e-14,9,0
9bus,(17) CSCA,LOCALLY_SOLVED,0.002153708,1.0500785120613512,1.0834786408657031,317.4913923705419,-5.452174692996,2.6279705212158094e-14,9,0
9bus_transformer_fields,(15) PM,LOCALLY_SOLVED,0.003069167,1.050078551206911,1.083478660355622,317.49138602465393,-5.4523028591420095,0.0,9,0
9bus_transformer_fields,(16) QLIM+VLIM,LOCALLY_SOLVED,0.002303375,1.0500785121218186,1.0834786409268766,317.4913923702484,-5.452174715403343,4.530796300123703e-15,9,0
9bus_transformer_fields,(17) CSCA,LOCALLY_SOLVED,0.0022195,1.0500785121218186,1.0834786409268766,317.4913923702484,-5.452174715403343,4.530796300123703e-15,9,0
3busfrank,(15) PM,LOCALLY_SOLVED,0.002538583,0.9671757836801774,1.03,47.10774741558885,25.423027902278676,0.0,3,0
3busfrank,(16) QLIM+VLIM,LOCALLY_SOLVED,0.002177334,0.9671757836220344,1.0299999999950415,47.107747476161414,25.423027960429145,2.5314990548749786e-17,3,0
3busfrank,(17) CSCA,LOCALLY_SOLVED,0.001621958,0.9671757836220344,1.0299999999950415,47.107747476161414,25.423027960429145,2.5314990548749786e-17,3,0
3busfrank_continuous_shunt,(15) PM,LOCALLY_SOLVED,0.002186458,0.9905575631875716,1.03,46.28878033625447,44.2598163783641,0.0,3,0
3busfrank_continuous_shunt,(16) QLIM+VLIM,LOCALLY_SOLVED,0.0016645,0.9905573644300326,1.0299999999893321,46.289288066320104,44.260299521511925,1.141181153813731e-16,3,0
3busfrank_continuous_shunt,(17) CSCA,LOCALLY_SOLVED,0.001839375,1.029000000057323,1.0300000000460547,46.4208379962142,-47.35352483067729,1.867724887039259e-14,3,2
5busfrank,(15) PM,LOCALLY_SOLVED,0.00258425,0.9467972181258012,1.03,48.30967112196357,30.468634117246733,0.0,5,0
5busfrank,(16) QLIM+VLIM,LOCALLY_SOLVED,0.001709666,0.9467972178911064,1.030000000009224,48.30967129805276,30.468634284254343,5.207695891113025e-16,5,0
5busfrank,(17) CSCA,LOCALLY_SOLVED,0.001922125,0.9467972178911064,1.030000000009224,48.30967129805276,30.468634284254343,5.207695891113025e-16,5,0
3busfrank_qlim,(15) PM,LOCALLY_SOLVED,0.001953542,0.8761296860667384,1.03,66.40439861552427,115.6950572326032,0.0,3,0
3busfrank_qlim,(16) QLIM+VLIM,LOCALLY_SOLVED,0.002274292,0.8999999900143223,1.0525914182477205,65.0550451428764,113.97818427209829,792.2208942714997,3,0
3busfrank_qlim,(17) CSCA,LOCALLY_SOLVED,0.002285,0.8999999900143223,1.0525914182477205,65.0550451428764,113.97818427209829,792.2208942714997,3,0
4busfrank_vlim,(15) PM,LOCALLY_INFEASIBLE,0.009586291,NaN,NaN,NaN,NaN,0.0,0,0
4busfrank_vlim,(16) QLIM+VLIM,LOCALLY_SOLVED,0.00344075,0.8999999900002538,1.1000000109997918,67.36770417713718,110.42720772473386,655885.8455700449,4,0
4busfrank_vlim,(17) CSCA,LOCALLY_SOLVED,0.003301375,0.8999999900002538,1.1000000109997918,67.36770417713718,110.42720772473386,655885.8455700449,4,0
5busfrank_cphs,(15) PM,LOCALLY_SOLVED,0.002773083,0.9125854669870186,1.03,59.76058822477983,22.136528663600586,0.0,5,0
5busfrank_cphs,(16) QLIM+VLIM,LOCALLY_SOLVED,0.001819625,0.9125854617994434,1.0300000000385579,59.760589896978026,22.136530261750597,9.660950253178973e-15,5,0
5busfrank_cphs,(17) CSCA,LOCALLY_SOLVED,0.001895875,0.9125854617994434,1.0300000000385579,59.760589896978026,22.136530261750597,9.66095025317845e-15,5,0
5busfrank_csca,(15) PM,LOCALLY_INFEASIBLE,0.015340458,NaN,NaN,NaN,NaN,0.0,0,0
5busfrank_csca,(16) QLIM+VLIM,LOCALLY_SOLVED,0.004260208,0.8999999900001541,1.1000000109998596,78.13313442363666,147.625180672387,786148.3674452136,5,0
5busfrank_csca,(17) CSCA,LOCALLY_SOLVED,0.002178584,0.9899999998807409,1.0300000000427734,60.71262693715338,-16.016702674724325,2.0079698204586064e-14,5,3
5busfrank_ctaf,(15) PM,LOCALLY_SOLVED,0.002637,0.9125854669870186,1.03,59.76058822477983,22.13652866360059,0.0,5,0
5busfrank_ctaf,(16) QLIM+VLIM,LOCALLY_SOLVED,0.002034041,0.9125854617994434,1.0300000000385579,59.7605898969779,22.136530261750604,9.660950253121514e-15,5,0
5busfrank_ctaf,(17) CSCA,LOCALLY_SOLVED,0.00189,0.9125854617994434,1.0300000000385579,59.7605898969779,22.136530261750604,9.660950253121514e-15,5,0
5busfrank_ctap,(15) PM,LOCALLY_SOLVED,0.002812292,0.9125854669870186,1.03,59.76058822477983,22.13652866360059,0.0,5,0
5busfrank_ctap,(16) QLIM+VLIM,LOCALLY_SOLVED,0.002298333,0.9125854617994434,1.0300000000385579,59.7605898969779,22.136530261750604,9.660950253121514e-15,5,0
5busfrank_ctap,(17) CSCA,LOCALLY_SOLVED,0.001988583,0.9125854617994434,1.0300000000385579,59.7605898969779,22.136530261750604,9.660950253121514e-15,5,0
test_defaults,(15) PM,ERRO: MethodError,NaN,NaN,NaN,NaN,NaN,NaN,0,0
test_defaults,(16) QLIM+VLIM,ERRO: MethodError,NaN,NaN,NaN,NaN,NaN,NaN,0,0
test_defaults,(17) CSCA,ERRO: MethodError,NaN,NaN,NaN,NaN,NaN,NaN,0,0
test_line_shunt,(15) PM,ERRO: ErrorException,NaN,NaN,NaN,NaN,NaN,NaN,0,0
test_line_shunt,(16) QLIM+VLIM,ERRO: ErrorException,NaN,NaN,NaN,NaN,NaN,NaN,0,0
test_line_shunt,(17) CSCA,ERRO: ErrorException,NaN,NaN,NaN,NaN,NaN,NaN,0,0
test_system,(15) PM,LOCALLY_SOLVED,0.002701667,1.025,1.0409471878966674,34.828549286103275,-7.98867210012137,0.0,4,0
test_system,(16) QLIM+VLIM,LOCALLY_SOLVED,0.002070792,1.024999999971028,1.040946591981659,34.82855382920313,-7.9884978207242705,9.595442317104548e-16,4,0
test_system,(17) CSCA,LOCALLY_SOLVED,0.001826958,1.024999999971028,1.040946591981659,34.82855382920313,-7.9884978207242705,9.595442317104548e-16,4,0
